Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR556,Hudson Tech HFC Reclamation Project 2020-1,,297,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Winchester,VIRGINIA,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",1666749.0,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,,,,,,
ACR557,Finite Carbon - Park Forestry IFM,,Hudson Technologies Company,SCS Global Services (Scientific Certification Systems),Industrial Process Emissions,Completed,Not ARB Eligible,Champaign,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",269803.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,www.hudsontech.com,,,,
ACR558,Mine 84 Abandoned Mine Methane Recovery Project,,"Park Forestry NY, LLC","Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,"St. Lawrence, Lewis, Hamilton, and Franklin counties in the state of New York and Caledonia, Windham and Windsor counties in the state of Vermont.",NEW YORK,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,129702.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,finitecarbon.com,,,,
ACR560,Tradewater ODS 34,CAMM5560,Keyrock Environment LLC,"SES, Inc.",Coal Mine Methane,,Listed - Active ARB Project,Washington County,PENNSYLVANIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",174001.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR561,Finite Carbon - Hiawatha Sportsman's Club IFM,CAOD5561,"Tradewater, LLC","SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",101273.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR562,Tradewater HFC Reclamation,,Hiawatha Sportsman's Club,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,"Mackinack County, MI",MICHIGAN,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,533750.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,https://www.finitecarbon.com/,,,,
ACR564,Spray Foam Omega 2,,"Tradewater, LLC",Ruby Canyon Environment,Industrial Process Emissions,Completed,Not ARB Eligible,Chicago,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",10352.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,Tradewater.us,,,,
ACR566,Anew - East Branch  Forestry Project,,Blue Source,Ruby Canyon Environment,Forest Carbon,Registered,Not ARB Eligible,Northern Maine,MAINE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,103103.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR568,Forest Carbon Works Rowan Family Forest Project,,"1st Climate Solutions DBA Brian R. Anderson, Inc.","First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"Arlington, Texas and Boisbriand, Quebec",TEXAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",730969.0,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,,,,,,
ACR569,Finite Carbon - AMC Maine Woods Initiative IFM,,Blue Source,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,"Upper Peninsula, Michigan",MICHIGAN,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,105623.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
