Project ID,Project Name,Project Developer,Project Type,Project Site State,Project Site Country,Additional Certification(s),Vintage,Deposit Date,Offset Credits Deposited,Offset Credits Released,Offset Credits Retired,Offset Credits Canceled,Offset Credits Canceled for ARB,Buffer Pool Balance,Year Effective,CAR Buffer Data,Updated 11-1-23,Total Buffer Pool:,782813
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2020-04-14,465,0,0,0,0,465,2020,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2016-07-03,124,0,0,0,0,124,2016,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2013,2015-01-09,1411,0,0,0,1411,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2012,2015-01-09,2124,0,0,0,2124,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2011,2015-01-09,2120,0,0,0,2120,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2010,2015-01-09,2122,0,0,0,2122,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2009,2015-01-09,2122,0,0,0,2122,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2008,2015-01-09,28944,0,0,0,28944,0,2015,,,,
CAR582,Finite Carbon - MWF Brimstone IFM Project I,Lyme Brimstone Timberlands LLC,Improved Forest Management,TN,US,,2007,2015-01-09,9643,0,0,0,9643,0,2015,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2014,2015-12-31,236,0,0,0,0,236,2015,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2013,2014-12-30,236,0,0,0,0,236,2014,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2012,2013-10-30,226,0,0,0,0,226,2013,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2011,2012-07-24,226,0,0,0,0,226,2012,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2010,2011-09-07,226,0,0,0,0,226,2011,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2009,2010-08-27,226,0,0,0,0,226,2010,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2008,2010-08-27,226,0,0,0,0,226,2010,,,,
CAR590,Lompico Forest Carbon Project,Sempervirens Fund,Improved Forest Management,CA,US,,2007,2010-08-27,2008,0,0,0,0,2008,2010,,,,
CAR645,Finite Carbon - The Forestland Group Champion Property,Heartwood Forestland Fund III Limited Partnership,Improved Forest Management,NY,US,,2012,2014-01-23,8662,0,0,0,8662,0,2014,,,,
CAR645,Finite Carbon - The Forestland Group Champion Property,Heartwood Forestland Fund III Limited Partnership,Improved Forest Management,NY,US,,2011,2012-12-29,8527,0,0,0,8527,0,2012,,,,
CAR645,Finite Carbon - The Forestland Group Champion Property,Heartwood Forestland Fund III Limited Partnership,Improved Forest Management,NY,US,,2010,2012-12-29,7845,0,0,0,7845,0,2012,,,,
CAR645,Finite Carbon - The Forestland Group Champion Property,Heartwood Forestland Fund III Limited Partnership,Improved Forest Management,NY,US,,2009,2012-12-29,4847,0,0,0,4847,0,2012,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2019,2020-06-24,1304,0,0,0,0,1304,2020,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2018,2020-06-24,257,0,0,0,0,257,2020,,,,
